volatility_level,total_events,excluded_count,success_count,failure_count,neutral_count,success_rate,failure_rate,neutral_rate,resolved_success_rate
中等波動,119,0,49,54,16,0.4117647058823529,0.453781512605042,0.13445378151260504,0.47572815533980584
極高波動,70,0,21,35,14,0.3,0.5,0.2,0.375
高波動,158,0,34,96,28,0.21518987341772153,0.6075949367088608,0.17721518987341772,0.26153846153846155
