distance_bucket,total_events,excluded_count,success_count,failure_count,neutral_count,success_rate,failure_rate,neutral_rate,resolved_success_rate
(0.25–0.5] ATR,67,0,19,33,15,0.2835820895522388,0.4925373134328358,0.22388059701492538,0.36538461538461536
(0.5–1] ATR,72,0,24,37,11,0.3333333333333333,0.5138888888888888,0.1527777777777778,0.39344262295081966
0–0.25 ATR,184,0,53,107,24,0.28804347826086957,0.5815217391304348,0.13043478260869565,0.33125
>1 ATR,24,0,8,8,8,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5
