symbol,event_date,event_index,timeframe,support_as_of,support_low,support_high,support_mid,zone_width_atr,entry_close,entry_low,entry_high,atr,atr_percent,volatility_level,distance_to_support_atr,support_touch_count,support_sources,support_source_count,future_max_price,future_min_price,future_max_return_pct,future_min_return_pct,max_rebound_atr,max_breakdown_atr,success_bar,failure_bar,bars_to_success,bars_to_failure,label,same_bar_ambiguous
2408,2016-12-13T00:00:00+08:00,63,1d,2016-12-12T00:00:00+08:00,45.894409152823556,46.49400152587891,46.19420533935123,0.46994673075619536,46.79999923706055,46.349998474121094,46.900001525878906,1.275873059251933,2.7262245300243064,中等波動,0.23983397796725273,2,"[""kmeans"", ""swing_high""]",2,50.599998474121094,46.95000076293945,8.119656621813265,0.32051608616292526,2.9783521248489673,0.8273484595205806,71,,8,,success,False
2408,2016-12-26T00:00:00+08:00,72,1d,2016-12-23T00:00:00+08:00,48.61976930403138,49.29910076141358,48.95943503272248,0.5174025998772516,48.75,48.400001525878906,49.900001525878906,1.312964908841513,2.6932613514697703,中等波動,0.0,1,"[""anchored_vwap_swing_high"", ""swing_high""]",2,49.54999923706055,47.04999923706055,1.6410240760216244,-3.4871810521834967,0.6093074016474832,-1.195591791067676,,77,,5,failure,False
2408,2016-12-27T00:00:00+08:00,73,1d,2016-12-26T00:00:00+08:00,47.54999923706055,47.8549991607666,47.70249919891357,0.23830057506919028,48.0,47.900001525878906,48.599998474121094,1.2798958777900546,2.6664497453959473,中等波動,0.11329112137134484,1,"[""volume_profile_hvn""]",1,49.54999923706055,47.04999923706055,3.2291650772094727,-1.9791682561238644,1.211035416206566,-0.39065677816177524,,,,,neutral,False
2408,2017-01-12T00:00:00+08:00,84,1d,2017-01-11T00:00:00+08:00,46.954299240112306,47.14569923400879,47.04999923706055,0.1743997887328673,47.150001525878906,46.849998474121094,48.04999923706055,1.097478358701767,2.3276316504452312,中等波動,0.003920161009104186,2,"[""swing_low""]",1,49.45000076293945,45.75,4.878047004512109,-2.969250223906139,2.0957126113915088,-1.097333018517923,93,85,9,1,failure,False
2408,2017-01-13T00:00:00+08:00,85,1d,2017-01-12T00:00:00+08:00,45.71999969482422,46.3942992401123,46.057149467468264,0.61833093783057,46.349998474121094,46.150001525878906,47.0,1.0905156187944978,2.352784584024038,中等波動,0.0,3,"[""kmeans"", ""swing_high"", ""volume_profile_hvn""]",3,49.45000076293945,45.75,6.688246797999797,-1.2944951324132092,2.842694075528449,0.02751020220044742,89,,4,,success,False
2408,2017-02-03T00:00:00+08:00,94,1d,2017-02-02T00:00:00+08:00,46.20339923858643,46.496601524353025,46.35000038146973,0.2672369751476793,46.70000076293945,46.54999923706055,48.29999923706055,1.0971621183953637,2.349383512785846,中等波動,0.1853866763864453,3,"[""swing_high""]",1,47.150001525878906,45.20000076293945,0.9635990483678247,-3.211991382215096,0.410149744868693,-0.914539846777137,,,,,neutral,False
2408,2017-02-20T00:00:00+08:00,105,1d,2017-02-17T00:00:00+08:00,45.65719999694824,45.84280000305176,45.75,0.19783735304888925,45.54999923706055,45.54999923706055,46.650001525878906,0.9381444062165959,2.059592583820067,中等波動,0.11426893256233553,5,"[""swing_low""]",1,47.349998474121094,44.75,3.9516998182428598,-1.7563100998027048,1.9186803493501496,-0.9670153026940203,,110,,5,failure,False
2408,2017-02-21T00:00:00+08:00,106,1d,2017-02-20T00:00:00+08:00,44.68749847412109,45.291100761413574,44.98929961776733,0.6331868106933336,46.349998474121094,45.400001525878906,46.54999923706055,0.9532767851426706,2.0566921607881388,中等波動,1.110797754871416,2,"[""swing_low"", ""volume_profile_hvn""]",2,47.349998474121094,44.75,2.157497374154893,-3.4519925065681134,1.0490132725201493,0.06556493019973574,,,,,neutral,False
2408,2017-03-10T00:00:00+08:00,117,1d,2017-03-09T00:00:00+08:00,45.14107407412848,45.32727407107673,45.234174072602606,0.18356659480486312,44.400001525878906,43.79999923706055,45.5,1.0143457590755176,2.2845624419276156,中等波動,0.7305916563647838,5,"[""kmeans"", ""volume_profile_hvn""]",2,49.79999923706055,44.099998474121094,12.162156589193373,-0.6756825257831389,5.3236262515685375,-1.0263518042962323,123,120,6,3,failure,False
2408,2017-03-15T00:00:00+08:00,120,1d,2017-03-14T00:00:00+08:00,44.40091698153243,44.84030000305176,44.62060849229209,0.4549827260300722,44.5,44.29999923706055,45.150001525878906,0.9657136334672297,2.1701429965555725,中等波動,0.0,2,"[""kmeans"", ""swing_low""]",2,50.20000076293945,44.79999923706055,12.808990478515625,0.6741555889001161,5.902371640415363,0.41325113542746367,123,,3,,success,False
