Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2016-09-12 00:00:00+08:00,38.400001525878906,39.20000076293945,38.34999847412109,38.95000076293945,28.062175750732425,9855000,0.0,0.0
2016-09-13 00:00:00+08:00,39.09999847412109,39.09999847412109,38.29999923706055,38.59999847412109,27.81001853942871,10044000,0.0,0.0
2016-09-14 00:00:00+08:00,38.54999923706055,38.84999847412109,38.34999847412109,38.70000076293945,27.882061004638672,9253000,0.0,0.0
2016-09-19 00:00:00+08:00,39.20000076293945,39.70000076293945,39.09999847412109,39.650001525878906,28.566503524780277,9306000,0.0,0.0
2016-09-20 00:00:00+08:00,39.09999847412109,39.54999923706055,39.09999847412109,39.34999847412109,28.350360870361328,3704000,0.0,0.0
2016-09-21 00:00:00+08:00,39.5,39.75,39.04999923706055,39.29999923706055,28.314342498779297,4914000,0.0,0.0
2016-09-22 00:00:00+08:00,39.70000076293945,39.900001525878906,39.400001525878906,39.45000076293945,28.42241096496582,5035000,0.0,0.0
2016-09-23 00:00:00+08:00,40.0,40.70000076293945,39.70000076293945,39.95000076293945,28.782642364501957,13229000,0.0,0.0
2016-09-26 00:00:00+08:00,39.79999923706055,40.900001525878906,39.54999923706055,40.650001525878906,29.28697395324707,13227000,0.0,0.0
2016-09-27 00:00:00+08:00,40.650001525878906,40.650001525878906,40.650001525878906,40.650001525878906,29.28697395324707,0,0.0,0.0
2016-09-28 00:00:00+08:00,40.650001525878906,40.650001525878906,40.650001525878906,40.650001525878906,29.28697395324707,0,0.0,0.0
2016-09-29 00:00:00+08:00,40.84999847412109,41.29999923706055,40.45000076293945,40.70000076293945,29.3229923248291,17341000,0.0,0.0
2016-09-30 00:00:00+08:00,40.34999847412109,40.34999847412109,39.25,39.400001525878906,28.386388778686523,9378000,0.0,0.0
2016-10-03 00:00:00+08:00,39.54999923706055,39.84999847412109,39.34999847412109,39.45000076293945,28.42241096496582,5455000,0.0,0.0
2016-10-04 00:00:00+08:00,39.75,40.59999847412109,39.59999847412109,40.0,28.81866836547852,12495000,0.0,0.0
2016-10-05 00:00:00+08:00,40.79999923706055,41.09999847412109,40.29999923706055,40.29999923706055,29.03480529785156,18306000,0.0,0.0
2016-10-06 00:00:00+08:00,40.75,40.75,40.0,40.0,28.81866836547852,6712000,0.0,0.0
2016-10-07 00:00:00+08:00,40.150001525878906,40.84999847412109,39.95000076293945,39.95000076293945,28.782642364501957,16017000,0.0,0.0
2016-10-11 00:00:00+08:00,40.400001525878906,40.84999847412109,39.79999923706055,40.150001525878906,28.926738739013672,16054000,0.0,0.0
2016-10-12 00:00:00+08:00,40.20000076293945,40.400001525878906,39.95000076293945,40.25,28.9987850189209,10580000,0.0,0.0
2016-10-13 00:00:00+08:00,40.400001525878906,40.5,39.95000076293945,40.150001525878906,28.926738739013672,8244000,0.0,0.0
2016-10-14 00:00:00+08:00,39.900001525878906,40.04999923706055,39.0,39.29999923706055,28.314342498779297,8863000,0.0,0.0
2016-10-17 00:00:00+08:00,39.54999923706055,39.650001525878906,39.29999923706055,39.400001525878906,28.386388778686523,5543000,0.0,0.0
2016-10-18 00:00:00+08:00,39.5,39.59999847412109,39.29999923706055,39.45000076293945,28.42241096496582,3427000,0.0,0.0
2016-10-19 00:00:00+08:00,39.59999847412109,40.29999923706055,39.59999847412109,40.0,28.81866836547852,10831000,0.0,0.0
2016-10-20 00:00:00+08:00,40.09999847412109,40.70000076293945,40.09999847412109,40.45000076293945,29.142879486083984,10356000,0.0,0.0
2016-10-21 00:00:00+08:00,40.45000076293945,40.54999923706055,40.04999923706055,40.34999847412109,29.070831298828125,7980000,0.0,0.0
2016-10-24 00:00:00+08:00,40.5,41.5,40.5,40.95000076293945,29.503108978271484,10943000,0.0,0.0
2016-10-25 00:00:00+08:00,41.0,41.04999923706055,40.45000076293945,40.54999923706055,29.214921951293945,7831000,0.0,0.0
