touch_volume_level,event_count,total_events,excluded_count,success_count,failure_count,neutral_count,success_rate,failure_rate,neutral_rate,resolved_success_rate
elevated,80,80,0,22,46,12,0.275,0.575,0.15,0.3235294117647059
low,99,99,0,39,46,14,0.3939393939393939,0.46464646464646464,0.1414141414141414,0.4588235294117647
normal,117,117,0,33,62,22,0.28205128205128205,0.5299145299145299,0.18803418803418803,0.3473684210526316
spike,56,56,0,12,35,9,0.21428571428571427,0.625,0.16071428571428573,0.2553191489361702
