volatility_level,total_events,excluded_count,success_count,failure_count,neutral_count,success_rate,failure_rate,neutral_rate,resolved_success_rate
中等波動,119,0,50,54,15,0.42016806722689076,0.453781512605042,0.12605042016806722,0.4807692307692308
極高波動,72,0,22,36,14,0.3055555555555556,0.5,0.19444444444444445,0.3793103448275862
高波動,161,0,34,99,28,0.2111801242236025,0.6149068322981367,0.17391304347826086,0.2556390977443609
