distance_bucket,total_events,excluded_count,success_count,failure_count,neutral_count,success_rate,failure_rate,neutral_rate,resolved_success_rate
(0.25–0.5] ATR,64,0,17,32,15,0.265625,0.5,0.234375,0.3469387755102041
(0.5–1] ATR,78,0,25,43,10,0.32051282051282054,0.5512820512820513,0.1282051282051282,0.36764705882352944
0–0.25 ATR,185,0,56,105,24,0.3027027027027027,0.5675675675675675,0.12972972972972974,0.34782608695652173
>1 ATR,25,0,8,9,8,0.32,0.36,0.32,0.47058823529411764
