volume_ratio_bin,event_count,total_events,excluded_count,success_count,failure_count,neutral_count,success_rate,failure_rate,neutral_rate,resolved_success_rate
<0.8,99,99,0,39,46,14,0.3939393939393939,0.46464646464646464,0.1414141414141414,0.4588235294117647
>=2.0,34,34,0,6,24,4,0.17647058823529413,0.7058823529411765,0.11764705882352941,0.2
"[0.8,1.0)",65,65,0,20,35,10,0.3076923076923077,0.5384615384615384,0.15384615384615385,0.36363636363636365
"[1.0,1.2)",52,52,0,13,27,12,0.25,0.5192307692307693,0.23076923076923078,0.325
"[1.2,1.5)",52,52,0,11,31,10,0.21153846153846154,0.5961538461538461,0.19230769230769232,0.2619047619047619
"[1.5,2.0)",50,50,0,17,26,7,0.34,0.52,0.14,0.3953488372093023
