touch_number,event_count,total_events,excluded_count,success_count,failure_count,neutral_count,success_rate,failure_rate,neutral_rate,resolved_success_rate
#1,56,56,0,19,27,10,0.3392857142857143,0.48214285714285715,0.17857142857142858,0.41304347826086957
#2,27,27,0,11,13,3,0.4074074074074074,0.48148148148148145,0.1111111111111111,0.4583333333333333
#3,16,16,0,3,11,2,0.1875,0.6875,0.125,0.21428571428571427
#4+,253,253,0,73,138,42,0.2885375494071146,0.5454545454545454,0.16600790513833993,0.3459715639810427
