year,event_count,actual_success_rate,average_predicted_probability,brier_score,log_loss,accuracy
2020,14,0.35714285714285715,0.5089904257075699,0.39167136754157494,1.046694595372052,0.42857142857142855
2021,30,0.3333333333333333,0.342217218834507,0.2064847496923558,0.5996731521603507,0.7333333333333333
2022,37,0.24324324324324326,0.3797504009874052,0.20958918649457978,0.6244286722032867,0.6756756756756757
2023,25,0.44,0.45114136373364233,0.26539575867799853,0.7370519788961797,0.44
2024,35,0.17142857142857143,0.3132434477355174,0.19061977681716386,0.5742786761472853,0.7714285714285715
2025,32,0.46875,0.49065133276178075,0.32257181506802635,0.8548055821076124,0.40625
2026,21,0.2857142857142857,0.4292587221885246,0.23062392720310934,0.655303884098404,0.7619047619047619
